V,E,C,genus,B,largest
2070,2921,62,913,5790,1996
2042,2832,66,856,5824,1961
2077,3018,41,982,5673,2025
2042,2883,53,894,5730,1967
2073,2973,57,957,5735,1993
2047,2850,61,864,5798,1970
2019,2782,62,825,5779,1936
2080,2987,50,957,5741,1999
2010,2824,58,872,5668,1925
2104,3058,50,1004,5712,2016
2087,2997,42,952,5743,2033
2049,2900,57,908,5732,1959
1985,2741,62,818,5681,1903
2035,2879,50,894,5675,1967
2055,2912,59,916,5754,1962
2055,2918,53,916,5744,1981
2011,2694,69,752,5925,1922
2078,2983,52,957,5737,2012
2091,2994,48,951,5774,2026
2048,2921,51,924,5679,1980
2060,2876,66,882,5844,1971
2046,2886,55,895,5738,1969
2085,2990,47,952,5728,2029
2110,3016,36,942,5787,2059
1984,2751,67,834,5682,1900
2110,3092,43,1025,5697,2063
2065,2937,40,912,5719,2015
2045,2895,54,904,5710,1973
2013,2696,49,732,5886,1950
2026,2813,60,847,5751,1934
2046,2905,57,916,5689,1974
2071,2886,55,870,5844,1993
2043,2879,66,902,5752,1955
2063,2944,55,936,5744,2003
2060,2949,50,939,5693,1960
2026,2830,83,887,5778,1894
2048,2881,62,895,5736,1951
2034,2857,50,873,5720,1966
2065,2904,50,889,5805,2001
2062,2892,56,886,5818,1986
2087,3003,47,963,5709,2026
2004,2770,69,835,5690,1891
1997,2736,62,801,5766,1883
2076,2994,50,968,5671,2007
2068,2868,58,858,5907,1992
2053,2858,51,856,5814,1995
2031,2786,67,822,5834,1931
2067,2913,50,896,5762,1993
2047,2904,53,910,5735,1960
2048,2822,62,836,5866,1955
2015,2788,70,843,5774,1913
2048,2876,58,886,5770,1957
2032,2860,46,874,5725,1980
2052,2871,52,871,5792,1988
2070,2864,73,867,5901,1963
2067,3011,53,997,5653,1980
2060,2926,55,921,5725,1960
2093,3016,53,976,5753,2009
2075,2962,55,942,5778,1988
2037,2809,77,849,5847,1909
2027,2835,59,867,5710,1950
2071,2963,56,948,5725,1967
2074,2927,54,907,5797,1987
2029,2836,68,875,5738,1929
2022,2816,46,840,5734,1955
2049,2843,59,853,5822,1975
2015,2825,57,867,5717,1917
2055,2919,61,925,5711,1963
2030,2872,52,894,5703,1962
2066,2915,38,887,5795,2017
2034,2824,51,841,5826,1961
2033,2842,51,860,5744,1968
2070,2952,45,927,5722,1998
2012,2797,62,847,5743,1925
2043,2875,49,881,5728,1979
1975,2689,76,790,5745,1839
2058,2918,57,917,5749,1962
2004,2728,66,790,5819,1915
2135,3159,49,1073,5680,2064
2057,2918,56,917,5715,1945
2047,2922,48,923,5658,1968
2043,2830,60,847,5833,1942
2069,2978,47,956,5698,1991
2028,2867,71,910,5670,1933
2047,2876,60,889,5741,1963
2055,2943,42,930,5661,1986
2051,2905,67,921,5752,1965
1992,2680,67,755,5843,1895
2088,2986,57,955,5785,2018
1953,2636,66,749,5718,1851
2103,3061,45,1003,5699,2046
1977,2688,76,787,5771,1878
2062,2904,59,901,5769,1976
2063,2896,52,885,5835,1998
2060,2848,71,859,5911,1963
2082,3000,48,966,5718,2019
2007,2770,66,829,5748,1895
2051,2891,46,886,5725,1996
2004,2778,57,831,5708,1931
2073,2997,49,973,5703,2012
2094,3066,42,1014,5648,2036
2090,3041,50,1001,5710,2007
2018,2821,60,863,5730,1926
2036,2843,53,860,5763,1974
2072,2956,60,944,5741,1994
2004,2716,66,778,5829,1916
2026,2843,57,874,5733,1944
1981,2666,70,755,5808,1874
2075,2897,63,885,5868,1992
2119,3098,49,1028,5734,2027
2021,2791,74,844,5795,1892
2049,2911,68,930,5696,1961
2002,2708,57,763,5819,1901
2050,2878,66,894,5788,1941
