V,E,B,lb
2023,2782,5800,760
2066,2977,5638,912
2064,2951,5723,888
2045,2862,5773,818
2042,2854,5765,813
2061,2888,5801,828
2031,2815,5798,785
2025,2768,5855,744
2033,2849,5733,817
2042,2819,5848,778
2053,2921,5716,869
2059,2878,5811,820
2073,2956,5750,884
1990,2700,5791,711
2043,2804,5893,762
2039,2806,5842,768
2013,2774,5781,762
2101,3061,5709,961
2015,2859,5606,845
2050,2883,5751,834
2074,2974,5743,901
2088,2982,5769,895
1994,2704,5775,711
2025,2830,5737,806
2065,2911,5769,847
2017,2812,5735,796
2094,3014,5742,921
2054,2897,5763,844
2074,2907,5860,834
1968,2659,5753,692
2037,2865,5739,829
2034,2864,5740,831
1978,2705,5718,728
2057,2879,5828,823
2070,2927,5783,858
2081,2954,5786,874
2092,3008,5760,917
2000,2748,5741,749
1989,2695,5825,707
2081,2965,5788,885
2033,2815,5810,783
2039,2869,5719,831
2075,2956,5770,882
2026,2791,5793,766
2063,2927,5722,865
2099,3018,5751,920
2025,2810,5786,786
2013,2841,5615,829
2046,2859,5786,814
2083,2995,5708,913
2101,3045,5744,945
2021,2791,5789,771
2085,3001,5710,917
2068,2953,5720,886
2047,2886,5753,840
2051,2921,5719,871
2079,2953,5775,875
1997,2754,5707,758
2039,2862,5726,824
2054,2931,5702,878
2141,3185,5678,1045
2031,2878,5690,848
2085,2988,5759,904
2096,3028,5751,933
2092,2970,5827,879
2059,2903,5782,845
2026,2847,5712,822
2078,2932,5855,855
2108,3066,5740,959
2014,2820,5695,807
2054,2861,5839,808
2051,2860,5790,810
1988,2734,5711,747
2060,2864,5869,805
2051,2873,5806,823
2058,2897,5766,840
2044,2857,5748,814
2032,2876,5665,845
2095,2951,5886,857
2032,2832,5759,801
2087,2980,5790,894
2065,2928,5757,864
2000,2727,5803,728
2069,2976,5699,908
2068,2936,5759,869
2055,2930,5701,876
2063,2867,5887,805
2078,2937,5804,860
2105,3046,5762,942
2043,2878,5721,836
2064,2908,5796,845
2094,3010,5750,917
2052,2912,5723,861
2007,2760,5758,754
2076,2935,5835,860
2071,2984,5716,914
2080,2947,5813,868
2078,2959,5775,882
2061,2898,5826,838
2104,3028,5783,925
2064,2934,5741,871
2033,2820,5758,788
2043,2864,5786,822
2034,2859,5693,826
2083,2965,5784,883
2087,3026,5686,940
2061,2898,5831,838
2098,3049,5670,952
1985,2743,5689,759
2040,2839,5822,800
2086,2959,5788,874
2094,3050,5709,957
2040,2881,5744,842
2041,2838,5804,798
2074,2899,5880,826
2109,3035,5766,927
2080,2977,5768,898
2082,2993,5724,912
2068,2947,5738,880
2068,2967,5710,900
2071,2924,5820,854
2067,2986,5651,920
2058,2867,5855,810
2037,2845,5732,809
2019,2805,5771,787
2029,2814,5784,786
2043,2880,5754,838
2069,2980,5664,912
1993,2759,5710,767
2028,2839,5720,812
2015,2804,5742,790
2083,2981,5748,899
2058,2938,5708,881
2045,2847,5802,803
2027,2870,5675,844
2003,2823,5594,821
2051,2875,5779,825
2037,2875,5687,839
1991,2645,5903,655
2055,2900,5759,846
2022,2797,5770,776
2027,2781,5866,755
2036,2848,5746,813
2045,2897,5707,853
2025,2781,5823,757
2079,3001,5696,923
2077,2949,5771,873
2024,2800,5780,777
1998,2726,5796,729
2032,2900,5666,869
2035,2840,5779,806
2064,2923,5761,860
2015,2822,5676,808
2045,2842,5818,798
2065,2931,5762,867
2102,3019,5814,918
2055,2916,5709,862
2040,2838,5796,799
2074,2949,5791,876
2071,2942,5777,872
2060,2942,5696,883
2028,2823,5765,796
2019,2760,5861,742
2094,2967,5832,874
2046,2866,5770,821
2015,2825,5714,811
2092,2944,5872,853
2049,2883,5739,835
2040,2885,5731,846
2086,2947,5851,862
2013,2794,5749,782
2018,2807,5709,790
2017,2828,5695,812
2087,2971,5807,885
2090,2974,5793,885
2062,2914,5770,853
2072,2919,5814,848
2029,2849,5718,821
2053,2931,5701,879
2062,2903,5799,842
2085,2980,5784,896
2059,2938,5721,880
2017,2742,5854,726
2010,2816,5650,807
2145,3124,5804,980
2016,2746,5835,731
2046,2884,5759,839
2083,2957,5793,875
2046,2892,5729,847
2106,3063,5700,958
2106,3060,5715,955
2055,2873,5808,819
2040,2883,5706,844
2050,2900,5721,851
2081,2990,5750,910
2058,2904,5763,847
2069,2958,5684,890
2074,2941,5770,868
2068,2944,5756,877
2092,2983,5821,892
2036,2884,5697,849
2028,2847,5725,820
2075,2948,5742,874
2045,2826,5848,782
2004,2768,5746,765
2004,2784,5707,781
2068,2920,5807,853
2044,2844,5853,801
2078,3002,5715,925
2046,2835,5842,790
2051,2890,5759,840
2067,2958,5719,892
2027,2837,5733,811
2053,2873,5776,821
2045,2885,5754,841
2024,2848,5741,825
2108,3059,5741,952
2063,2952,5676,890
2034,2857,5729,824
2052,2833,5855,782
2014,2749,5823,736
1999,2731,5792,733
2055,2880,5797,826
2093,2954,5846,862
2040,2839,5786,800
